Review,Polarity
"tristar / 1 : 30 / 1997 / r ( language  violence  dennis rodman ) cast : jean-claude van damme ; mickey rourke ; dennis rodman ; natacha lindinger ; paul freeman director : tsui hark screenplay : dan jakoby ; paul mones ripe with explosions  mass death and really weird hairdos  tsui hark's "" double team "" must be the result of a tipsy hollywood power lunch that decided jean-claude van damme needs another notch on his bad movie-bedpost and nba superstar dennis rodman should have an acting career . actually  in "" double team  "" neither's performance is all that bad . i've always been the one critic to defend van damme -- he possesses a high charisma level that some genre stars ( namely steven seagal ) never aim for ; it's just that he's never made a movie so exuberantly witty since 1994's "" timecop . "" and rodman . . . well  he's pretty much rodman . he's extremely colorful  and therefore he pretty much fits his role to a t  even if the role is that of an ex-cia weapons expert . it's the story that needs some major work . van damme plays counter-terrorist operative jack quinn  who teams up with arms dealer yaz ( rodman ) to rub out deadly gangster stavros ( mickey rourke  all beefy and weird-looking ) in an antwerp amusement park . the job is botched when stavros' son gets killed in the gunfire  and quinn is taken off to an island known as "" the colony "" -- a think tank for soldiers "" too valuable to kill "" but "" too dangerous to set free . "" quinn escapes and tries to make it back home to his pregnant wife ( natacha lindinger )  but stavros is out for revenge and kidnaps her . so  what's a kickboxing mercenary to do ? quinn looks up yaz and the two travel to rome so they can rescue the woman  kill stavros  save the world and do whatever else the screenplay requires them to do . with crazy  often eye-popping camera work by peter pau and rodman's lite brite locks  "" double team "" should be a mildly enjoyable guilty pleasure . but too much tries to happen in each frame  and the result is a movie that leaves you exhausted rather than exhilarated . the numerous action scenes are loud and headache-inducing and the frenetic pacing never slows down enough for us to care about what's going on in the movie . and much of what's going on is just wacky . there's a whole segment devoted to net-surfing monks that i have yet to figure out . and the climax finds quinn going head-to-head with a tiger in the roman coliseum while yaz circles them on a motorcycle  trying to avoid running over land mines and hold on to quinn's baby boy ( who's in a bomb equipped basket ) -- all this while stavros watches shirtless from the bleachers . did i mention "" double team "" is strange ? when it all comes down  this is just another rarely entertaining formula killathon  albeit one that feels no need to indulge in gratuitous profanity . rodman juices things up with his blatantly vibrant screen persona  though  leading up to a stunt where he kicks an opponent between the legs . but we didn't need "" double team "" to tell us he could do that  did we ? © 1997 jamie peck e-mail : jpeck1@gl . umbc . edu visit the reel deal online : http : //www . gl . umbc . edu/~jpeck1/ 
",0
"arlington road 1/4 . directed by mark pellington . written by ehren kruger . photography  bobby bukowski . editing  conrad buff . production design  therese deprez . music  angelo badalamenti . producers  peter samuelson  tom gorai  marc samuelson . cast : jeff bridges ( michael faraday )  tim robbins ( oliver lang )  joan cusack ( cheryl lang )  hope davis ( brooke wolfe )  robert gossett ( fbi agent whit carver )  mason gamble ( brady lang )  spencer treat clark ( grant faraday )  stanley anderson ( dr . archer scobee )  et al . a screen gems release . 117 minutes . r ( violence ) the day after i saw this movie  i was reading in the new york times george vecsey's analysis of the us women's soccer team victory . ( vecsey is both a paragon of sports writers and an excellent author of non-sports books  including "" loretta lynn  coal miner's daughter "" the bestseller which became a great movie ) . i quote : "" now the american women are hot  but  then again  america lives for temporary diversion and instant gratification -- new pop groups  new sunglasses  new cars  new internet stocks . "" one might add to this many other items  including new movies  such as arlington road . the following day i received a tbs announcement for a made-for-cable film  first daughter  about the kidnapping of the president's daughter by american terrorists . as voltaire said about god  "" if he didn't exist  he should have been invented . "" hollywood  in the absence of that so-useful big bad soviet bear  predictably turned to world-wide terrorism  including home-grown american destroyers . as in arlington road  an ambitious but disappointing opus . at d . c . 's george washington university  professor faraday ( bridges ) teaches courses on terrorism . he's a widower with his boy  grant . his fbi-agent wife  was killed in a federal cock-up . faraday is being semi-consoled by brooke  one of his graduate students . he lives on arlington road where he makes friends with neighbors oliver ( robbins ) and cheryl lang ( cusack ) . then he begins to suspect that oliver is not the architect he claims to be  but a terrorist leader . . . the film open with the protracted  unexplained sequence . a heavily bloodied  badly burnt boy staggers down a street . just as you think that he'll fall down dead  he is rescued by michael faraday who drives him to a hospital . it's all done as a skillful "" internal "" montage  whose horror  however  does not really hide goofs and improbabilities . item : in a close-up  a drop of blood falls on one of the boy's sneakers . seconds later  the same sneaker has no blood . item : arlington road is a suburban street flanked by many houses and lawns but i cannot remember seeing any people around . it is far too convenient that the only driver who notices the kid's predicament is faraday . item : the child rapidly goes from apparent death throes to a lightning-fast recovery with one arm in a cast as the only visible sign . the explanation of the boy's condition  given by his parents  the langs  is a fireworks accident . all this is an artificial gimmick to have faraday and the langs meet and develop nice  neighborly relations . the couple has a boy  brady  and two girls . brady and grant become best friends . this is held in reserve for future  nefarious purposes . it is also is a gimmick for dis-alienating the orphan grant who disapproves of papa's girlfriend brooke  and for turning the 8-year old into a "" regular american boy  "" a fact that gets worked into the plot . another ho-hummer . michael faraday's questioning of oliver's kosher-ness as a designer of malls starts with his 2-seconds' glimpse of plans that are not of a mall but of an office building . quick eyes  what ? item : when later michael needs to look at those plans by getting into the lang house when the couple is not there  the two little girls who open the door are uncharacteristically pan-faced and suspicious ; michael's excuses for entering are woolly-minded  blatantly dumb . so is his search . item : brooke  rather thinking that michael's suspicions are paranoid  is an unbelievably obtuse naysayer . so is the fbi agent  a friend of michael's . cliche item : when a good person is feverishly phoning about a discovery from a pay-phone  and turns around  the enemy is standing there . improbable item : michael is checking old newspaper files about oliver . . . who suddenly appears behind him . cliche item : the obligatory as well as unbelievable car chase . impossible item : the way chasers and chased connect . goof item : a car is hit broadsides ; next that side is shown undamaged . [here i eliminate about dozens of other items]the finale is highly improbable but does score a point by going against the guesses of audiences conditioned by too many action good vs . evil flicks . i won't disclose it . the script of arlington road-- a name evoking red  white and blue patriotism-- wastes much money and technical talent during its two hours where nothing makes sense . its photography and editing are artsy not arty . story an dialogue go overboard with deviousness and indirection . has no one learned from alfred hitchcock the value of clarity ? . the whole is an alienating mess  and a probably uncalled for stress on large-scale  minutely organized  hugely financed ( but by whom ? ) american terrorism . the movie's events are under the sign of the world trade center and oklahoma city bombings  and the mess at ruby ridge . consciously or not  it connects with such good pictures as the invasion of the body snatchers  the stepford wives  seconds  rosemary's baby  et al .  that is  films where people are not what they seem to be . rescuing it from total destruction are good performances by bridges who is convincing in his pain and obsessions ; by robbins who is smooth and would be frightening if credible ; and by the clever casting of ever-charming joan cusack as a wolf in lamb's clothing . "" le mauvais gout mene au crime "" ( stendhal ) edwin jahiel's movie reviews are at http : //www . prairienet . org/ejahiel 
",0
"the brady bunch movie is less a motion picture than a minor pop event . forget your reruns and forget your nick at nite ; this dead-on recreation of the fabled seventies sitcom is both so exhilarating and * so disturbing that you half-expect to see the ghost of rod serling appear in the narrative . did we really act this way twenty years ago ? of course not . the genius of the brady bunch movie is how it heightens the surreality of the family unit from hell by fast-forwarding them into the future . it's 1995 and greg still calls the chicks "" groovy  "" and marsha still considers hair-brushing the high point of her day . bell bottoms are in  and alice has yet to move out . nothing has changed within the garish walls of brady manor and  so  the plot has the family stepping out into the real world  where they are confronted by everything from carjackers to lesbians . granted  nothing * too * serious happens here . with the exception of some heavy sexual innuendo  the brady bunch movie is about as sanitary as the source material . and that's too bad . director betty thomas ( of tv's "" hill street blues "" fame ) doesn't cut between real-life and brady-life enough to make the contrast as glaring as it should be . the edge isn't sharp enough . * we * know that what we're watching is funky  though  so it's not that much of a problem . nor are the glaring low production standards . the cast is uniformly appealing . shelly long seems to have found her niche under awful hair  while gary cole is right on the mark with dad's sing-song truisms . christine taylor is the best of the brady kids . she's a cheery delight as marsha * and * is a dead ringer for maureen mccormick . her foil is jennifer elise cox  who is a howl as the brooding jan . 
",0
"janeane garofalo in a romantic comedy -- it was a good idea a couple years ago with the truth about cats and dogs but is almost excruciating in the matchmaker . this is a by-the-books movie that plods along on a predestined course with no surprises and very few laughs . it also jumps on the ever-popular political satire bandwagon and manages to fall flat there  too . garofalo plays a campaign aide to a massacusetts senator ( jay o . sanders ) running for reelection . denis leary plays the stereotypical strategist with no ethics who decides the only way for the scandal- plagued senator to win is to play up his irish roots and cash in on that boston roman catholic democrat contingent that's made the kennedy family so popular . so leary orders garofalo to go to ireland and dig up some relatives to exploit . she soon learns why "" easier said than done "" is the mantra of movies like this . the matchmaker falls for every cliche of things that can go wrong -- garofalo has to take a tiny plane to ireland  almost misses the bus to town  can't get a hotel room  ends up in the smallest  trashiest one around  has a dog piss on her luggage  and so on . then comes what roger ebert calls the "" meet cute . "" it happens in every romance : the man and woman have to meet each other for the first time in some unconventional  cinematic way . in the matchmaker  it happens when garofalo walks into her hotel bathroom and finds a nude sean ( david o'hara ) in the bathtub  his dog sitting at his side . no points for guessing it's the same dog that just made water on her luggage . also no points for guessing garofalo hates o'hara on sight . that's how it works in movies like these . i know from the instant i saw that irishman in the bathtub that she'd hate him for awhile  then succumb to his charms  live happily for a reel or so before allowing some superficial detail to throw the relationship into turmoil  after which they'd reconcile in time for a happy irish tune to play over the end credits . i haven't mentioned the movie's twist yet . garofalo comes to the small ireland town during the annual matchmaking festival  during which lonely folks from around the county pair off into a future of bliss . milo o'shea ( who looks like an irish tom snyder ) is the matchmaker who pops onscreen occasionally to spew his words of wisdom and bring lonely souls together . rest assured he'll do all he can to match up garofalo and o'hara . oh  and in keeping with the matchmaker's utter predictability  he dies toward the end . what the message here ? sometimes even the most respectable person of comedic distinction  like garofalo  will sell out with a weak script . i was excited to see garofalo and leary in the same movie  but they actually only have two or three scenes together . leary stays stateside  for the most part  yelling at garofalo over the phone and generally being an asshole . he even undoes himself with the old microphone's still on after he's done giving the speech cliche . both of them should have known better . visit the movie critic at large homepage at http : //www . missouri . edu/~c667778/movies . html close to 1  000 reviews with a comedic flair . . . 
",0
"i'm going to keep this plot summary brief  something i wish mr . warren had done with his "" film "" ( i know  "" manos "" only runs 74 minutes  but that's not brief enough ) . michael ( hal warren ) leads his family on a trip out into the middle of nowhere . after being lost for a great deal of time  they stumble across a lodge run by torgo ( the late john reynolds )  a small man with large knees . torgo informs the family that he watches the house while the master ( tom neyman ) is away . michael insists on torgo allowing his family to stay  despite the fact that michael's wife  margaret ( the late diane mahree )  and daughter  debbie ( stephanie nielson )  aren't too keen on staying . torgo relents and slowly carries the family's luggage into the house . meanwhile  the master awakens  and his wives ( jackey neyman  sherry proctor  robin redd ) vie for his favor by wrestling in the mud . i'm afraid i'm not an eloquent enough writer to adequately describe the experience that is "" manos  the hands of fate "" . i don't believe i can do justice to this diamond in the rough ; this magnificent piece of filmmaking that is - oh forget it  i can't even say it . "" manos  the hands of fate "" is  arguably  the worst movie of all time . imagine  if you will  the following : hal warren  a fertilizer salesman  bets a friend that he can make a popular horror film on a minimal budget . he hires several actors who have little to no experience or training ( he himself has no experience or training )  and leads the cast through a script which consists of long spells of nothingness occurring . you're no doubt wondering why i have referred to cast members as "" the late "" ; it's because after the film was finished  and the cast laughed out of the theater at its premier  three ( that's right  three ) cast members committed suicide . "" manos "" ( which means hands  by the way ) has since become a legendary film ; one which can only be watched under one of three circumstances : you're completely drunk  completely insane  or completely asleep . while looking over the list of actors involved in this project  you'll most likely realize that none of the names sound familiar . that's because each cast member sealed his/her acting fate by appearing in this "" movie "" . not one actor involved went on to make any other picture . could appearing in a bad movie really do this to one's career ? it's doubtful . for example  barry pepper will no doubt go on to make other films after "" battlefield earth "" ( which is not to say "" battlefield earth "" is in the same league as "" manos "" ) . the chief reason none of these actors went on to other films is because none of them could act . hal warren was as incompetent in front of the camera as he was behind it ; tom neyman made van damme look like an oscar winner ; and diane mahree's part consisted of  well  nothing really . the only two actors worth noting are john reynolds and stephanie nielson . stephanie nielson may have been only a child  but she outdid every adult in the film ( she's no doubt in a mental institute somewhere after experiencing this movie ) . john reynolds  who was sadly one of the three casualties of this war  actually showed some small trace of talent . do i mean he was good ? not in the slightest . yet  i think if he'd received some schooling and experience he might have gone on to a small career . so what does a movie look like when there's no budget ? well  picture "" the blair witch project "" without the scares ( oh wait  there were no scares in "" blair witch "" )  the extras  the scenery  or the nice cameras . you see  "" manos  the hands of fate "" was filmed with such a cheap  ancient camera that the film could only be shot in thirty two second bursts . this means there are fades and/or cuts every thirty two seconds for no reason . the costuming in "" manos "" is rather interesting . there are really only three different bits of costuming : the wives' undergarments  which they wear while fighting each other ; the master's cloak of hands  which is a large cloak covered in large hands ( something involving the god manos  whom he serves ) ; and torgo's knees . torgo's knees  by the way  may look like nothing more than large anomalies stuck to his legs  but they're actually an ingenious invention thought up by john reynolds . torgo is actually supposed to be a satyr  and the large knees were supposed to represent goat legs . i'm not quite sure how reynolds thought this up  and i'm not sure how we were supposed to know they were goat legs  and i'm not even sure why torgo is supposed to be a satyr  but there you have it . there are two more things worth noting in "" manos "" . one is the dialogue  particularly that of torgo ; the other is the soundtrack . torgo's dialogue generally consists of repeating the same phrases over and over again . for example  when asked about the master's health  torgo states : "" dead ? no  madam . not dead the way you know it . he is with us always . not dead the way you know it . he is with us always . "" i think warren wanted to emphasize the fact that he wasn't dead like we know it  but i could be wrong . torgo also states  in a line vaguely ( very vaguely ) reminiscent of a classic line from rosalie crutchley in "" the haunting "" : "" there is no way out of here . it'll be dark soon . there is no way out of here . "" it should be noted that the camera used was so ancient and decrepit that it could not record sound . therefore  all the characters voices were dubbed by four different people : hal warren  hal's wife  and two friends . the soundtrack to "" manos "" is certainly one of the high-points . after some strange and out of place lounge music in the film's opening ( which consists of a lot of driving ) we settle into the torgo theme  which is made up of six notes played over and over again till you're certain your ears will begin to bleed . if i haven't made this film sound bad enough  and you are unfortunate enough to go and witness it  i do apologize . i'd recommend "" manos  the hands of fate "" to those who simply adore classic bad movies ( because this one ranks amongst the worst ) and award it a full one out of five stars . comments ? send to : johnbeachem@dependentfilms . netpast reviews can be found at : http : //www . epinions . com/user-elerad ? public=yes or http : //us . imdb . com/reviewsby ? john + beachem * * * * * - one of the best movies of the year . * * * * - great flick  try and catch this one . * * * - okay movie  hits and misses . * * - pretty bad  see it at your own risk . * - see this one only if you enjoy pain . get your private  free e-mail from msn hotmail at http : //www . hotmail . com .  share information about yourself  create your own public profile at http : //profiles . msn . com .  
",0
"review by lars lindahl ( larsattacks@mail . com ) starring norm macdonald  dave chapelle  elaine stritch  sherman hemsley  daniel benzali  and danny devito the most popular trend of the last couple of years has been the twist ending . watching one of these movies  everything seems to make sense until suddenly you are blown away by an unexpected surprise . when the film ends  there is a moment of confusion  then recollection  then some more confusion  then possibly a second viewing for clarification . this is a description of an ideal twist that perfects everything it sets out to do and more . good surprises make movies fun to watch . then there are the bad twists . you either know what is going to happen ten minutes into the movie ( i'm talking about you reindeer games ) or you did not guess the ending because it is so outrageously stupid . screwed perfectly suits the latter description . what starts out as a dumb guilty pleasure which should be fun to mock with a group of friends ends with a complex finale with way too much going on . by the writers of man on the moon and the people vs . larry flynt  scott alexander and larry karaszewski leave milos forman behind and take a stab at film directing . whoops . screwed is an inane christmas carol gone berserk with few genuine laughs and many acting embarrassments . norm macdonald stars as willard filmore  a hard working chauffeur who just wants a little respect from his rich  old  insidious boss  miss crock ( elaine stritch ) . when he overhears her plans to fire him on christmas day  willard is convinced by his best friend rusty ( dave chapelle ) to kidnap crock's beloved dog and hold it for a ransom of one million dollars . too excited to pay any attention  the hapless losers' plan goes awry when the dog escapes and returns home . now crock thinks willard has been kidnapped and the two friends  realizing they can make even more money  decide to stage the fake kidnapping . of course  everything that could go wrong does . the first forty-five minutes of screwed is harmless entertainment - a guilty pleasure that should be enjoyably bad . but the convoluted script eventually builds into a disaster that is impossible to bear . the more idiotic these characters get  the more reckless the script becomes . at one point  i wanted to get out of my seat and yell at these characters : "" no  you idiot ! "" i'm not just talking about willard and rusty  who were extremely annoying  i'm also talking about the cops in this film . a monkey could have solved this case within an hour but these guys ( headed by murder one's daniel benzali ) were just too clueless to forgive . they give real cops bad names . also poor danny devito apparently does not know how to turn down a role these days . looking almost identical to his penguin in batman : returns  every time he appeared on the screen i had to shake my head in disbelief . he just didn't belong in this movie . macdonald and chapelle are veterans at these kinds of movies but devito made the film much worse than it already was  gross out humor is certainly not his forte . if you're a fan of norm macdonald's other chaotic comedy  dirty work  you might actually love this near-sequel . otherwise  don't get screwed out of your hard-earned money . 
",0
"after enduring mariah carey's film debut  glitter  i'm reminded of a bit from chris rock's bigger and blacker . in response to women saying that they can raise a child without a man  rock says  "" you can drive a car with your feet  but that don't mean it should be done . "" to that i say  you can give mariah carey a movie  but that certainly don't mean it should be done . sure  there are plenty of pop star film vehicles out there -- from the beatles' a hard day's night to the spice girls' spice world -- but none have been so vapidly pointless or laughable as glitter . everything about this complete tripe is ludicrous . start off with the story  which -- as gruesomely predictable as it is -- is the least offensive part of the movie . the film is inexplicably set in the 80s  a period piece that really shows no sign of its period except for a few chicks in leg warmers . worse yet  everyone's speaking late 90s hip-hop slang in what should be 1983 . meant to be partially autobiographical  carey plays billie frank  a young singer in new york who struggles to overcome a rough childhood and abandonment by her alcoholic mother . influential club dj julian dice  a . k . a . "" lucky 7 "" ( max beesley playing a bad mix of puff daddy and robert de niro )  hears her sing on a track  and decides to make her a star . in predictably rapid succession  billie and dice fall for each other  she starts hitting it big  dice gets jealous and starts acting like an ass  and suddenly billie's on "" the roller coaster of superstardom . "" in the meantime  billie is on an emotional hunt for her missing mom . i won't give away the ending  but -- honestly -- just think of unicorns and rainbows . . . you'll figure it out . the movie screams to be made with camp  and that could've been fun . but the filmmakers thought making the bulk of glitter weepy and dramatic would be better . what a mistake . the brief attempts at comic relief -- as in a scene where an effeminate russian-sounding director gets wacky with filming billie's first music video -- go over like lead balloons . instead  the audience at my screening tended to laugh loudest during mariah's most dramatic scenes . which brings us to the performances  of which there's nothing good that can be said . mariah is primarily seen with a wide-eyed deer-in-the-headlights look frozen on her face . she actually looks scared during her one love scene . but you have to wonder if the writing isn't even worse . so much of the dialogue is so hackneyed and watered down for carey's virginal target audience that it's probably impossible for any actor to pull it off with aplomb . even the characters couldn't have been written more absurdly . they're all members of a barbie playset : the important film director who swoons  "" billie  i'd love to put you in a movie i'm making  "" and the big-time record executive who takes billie's demo tape and says  "" oh  i'll make sure the whole team listens to it in the morning . "" everyone in the film is a device  and it's painful to keep watching just to see another one appear . to say more would be a waste . there's so much wrong with this film . and  it pains me that mariah carey -- with her ego and sanity in such fragile condition these days  as evidenced by her multiple hospital stays -- will have to suffer through all the negative reviews she's likely to get . but  then again  i had to suffer through her movie . 
",0
"here's a rarity : a children's film that attempts to tackle a weighty subject  is there a god ? done well  it could have been a gem among the wasteland of modern children's cinema . unfortunately  it isn't . with jumbled messages  and an unclear audience  wide awake was better left asleep . fifth grader joshua beal ( joseph cross ) is in the middle of a moral crisis . his beloved grandfather ( robert loggia ) has died  and joshua has begun a quest . he wants to find god  to discover why bad things happen . this religious quest is slightly disturbing for his parents ( dana delany and denis leary )  but they do their best to cope with their son as he explores different religious faiths . at his catholic school  his favorite teacher  sister terry ( rosie o'donnell )  tries to give him guidance  but this is a journey he must make on his own . meanwhile  he is having the most momentous year of his life . he has several adventures with his daredevil best friend dave ( timothy reifsnyder )  he gets his first crush  and begins to wake up to the world around him while he is on his spiritual journey . it is somewhat confusing as to what the real audience for wide awake is expected to be . on its surface  it appears to be a kid's film . however  it deals with serious issues  and is likely to be boring for today's instant-gratification kids . and while it might seem heartening to see that someone is trying to produce something thoughtful for the kidvid audience  wide awake asks serious questions  but only delivers a cheap gimmick for an answer . if there were a bit more meat in the story  adults on a nostalgic bent might get a kick out of the movie . the actors who might have created a great cast ( o'donnell  leary and delany ) are wasted in roles that amount to little more than cameos . the nostalgic elements ( best friend  favorite teacher  first crush  etc . ) have been done much better in other movies  and actually seem more like filler here . the film's strongest scenes are some touching flashbacks depicting joshua's relationship with his grandfather . they show more depth than is present anywhere else in the movie . maybe the film would have been better if  instead of playing the relationship through flashbacks  it were set entirely during joshua's last year with his grandpa . it certainly would have been more entertaining . wide awake can best be described as a failed experiment . it starts out with noble aspirations  but never delivers on its promise . parents who do take their children to see this one ought to be prepared to answer some tough questions . . . that is if their kids aren't bored to death first . 
",0
"starring : tommy lee jones ( sam gerard )  wesley snipes ( various character names )  joe pantoliano ( cosmo renfro )  robert downey jr . ( john royce )  irène jacob ( marie )  tom wood ( noah newman )  daniel roebuck ( biggs )  kate nelligan ( walsh ) directed by : stuart baird  written by : john poguerated pg-13 by the mpaa for violence  gore  and strong languagei'll lay out the basics first . sam gerard  the chief deputy u . s . marshal from the fugitive ( 1993 )  and his team of crack deputies  are back . another man has fled from the clutches of the state  and gerard must chase this new fugitive down . but what's the story this time ? why is he running ? did he do what he was accused ? if not  who did ? who's doing the cover-up ? why ? and so on . all the stuff you love from your traditional action/suspense/mystery flicks  but with better characters ( especially jones' oscar-winning gerard role ) and better action set-pieces  pushing it into the above-average fun-film range . plus  it's a warner bros . film  and everyone knows that ever since about 1994  it's been a red-letter day any time that warner has actually released a good film . '97 was their best run in a while  what with contact  rosewood  and l . a . confidential . maybe things will look up for them this year . now then . . . i've never felt the need to adress what other critics have thought of a movie before  but this time  i'm afraid i must . it's just that this time  i've read a number of reviews with differing opinions  but many of them made various statements that left me with one vital question : what movie did these people see ? i'm not talking about disagreeing with their opinions . i'm talking things that seem to be factual  and yet  also just seem . . . well  wrong . i guess some of these could be taken as opinions . regardless  i have no idea where anyone could get these impressions . i'll just ramble them off for you  to give you an impression of what i'm getting at here . the following statements  made by a number of unrelated  anonymous film critics  appear to be nothing short of  well  false : 1 ) u . s . marshals is nothing more than a copy of the the fugitive . 
",0
"the haunting  -a review by bill chambers ( haunting@filmfreakcentral . net ) starring lili taylor  liam neeson  catherine zeta-jones  owen wilson screenplay by david self  based on the haunting of hill house by shirley jackson directed by jan de bont "" some houses are born bad  "" goes the haunting's tag line  to which i must add  "" some movies  too . "" nothing short of hiring a new cast  a more literate screenwriter  and a new director could have saved this tragically misguided adaptation of jackson's meritorious novel . the haunting is late entry summer dreck too slick to be creepy  and its seemingly endless stream of digital trickery and spooky ooky sound effects don't frighten so much as numb the audience into submission-the film is like a rube goldberg contraption rigged to shout "" boo . "" fragile nell ( taylor )  bisexual theo ( zeta-jones )  and smiley luke ( wilson ) are three insomniacs who gather at the reputedly possessed hill house for an extended study on sleep disorders  hosted by professor marrow ( neeson ) . marrow's secretly gathering data on their respective paranoid responses to his recount of hill house's bleak history . he's not prepared for the very real apparitions that terrorize the crew  nell especially  who has some ancestral connection to the manor's previous inhabitants . taylor is thoroughly insufferable in her first big-budget lead . for starters  her consistently dour expression sucks the life out of even the early scenes  when we're introduced to the mansion and all its fun-house trappings . her character is supposed to be depressed  having tended to an unloving mother for too many years  but taylor plays nell as supernaturally lame  alternately grouchy  mopey  wiggy and pathetic  and i kept wondering why the other characters didn't just ditch this bitch . as for the obscenely photogenic zeta-jones  she breezes through her scenes with a wink and a smile and takes the scenery with her . unfortunately  she's saddled with some of the most unlikely dialogue the screenplay has to offer . theo's assessment of the house ? "" i love it ! sort of charles foster kane meets the munsters . "" who on earth would say that in place of "" citizen kane meets the munsters "" ? ( furthermore  would you gladly spend a single night in a house befitting that description ? ) both actresses fare better than neeson  who looks embarrassed to be a part of this ensemble ( and for good reason )  and his character is the most bland . as luke puts it  dr . marrow pulls the old "" academic bait and switch "" on his subjects  but he breaks down and confesses to this the second he's accused . later  he risks his life by climbing a crumbling stairwell to save nell ( it's amusing to hear neeson shout "" nell "" repeatedly  given his starring role in the 1994 jodie foster vehicle of the same name ) . why was this nice  helpful  and redemptive researcher so absent of ethics at the start ? the haunting was well designed by eugenio zanetti . his sets are obsessively detailed  and even before the cgi kicks in  they seem alive  never quite still . i do have one beef with this aspect of the production : the real life mansion used in exterior shots  nottinghamshire's harlaxton manor  is so vast that one has trouble believing that nell and company  no matter how much running away they do from ghosts and goblins  always finish up in locations that were established in act one  as if all the action has been confined to one wing of hill house . eighty million dollars was spent on the haunting  and despite a powerhouse box office debut  i doubt it will recoup its costs ( including marketing ) domestically . thank jan de bont for that : proving for the third time that speed was a fluke  in that it was actually enjoyable  de bont has served up another ride  sans thrill . his images  well-lit though they are  have an unmistakable been there-done that quality ; in fact  whole sequences  not to mention the cloaked  airy ghoul who owns the climax  feel lifted from a much smarter and infinitely more enjoyable spectacle from three summers back  peter jackson's the frighteners . i don't mean to suggest de bont is a plagiarist  i mean to suggest that he's a hack  having found no new ways to give us chills . 
",0
